,Car
0,1.0
1,0.0
2,0.0
3,1.0
4,2.0
5,0.0
6,0.0
7,2.0
8,1.0
9,2.0
10,1.0
11,2.0
12,1.0
13,1.0
14,1.0
15,2.0
16,1.0
17,1.0
18,0.0
19,1.0
20,2.0
21,2.0
22,2.0
23,1.0
24,1.0
25,0.0
26,1.0
27,1.0
28,1.0
29,2.0
30,1.0
31,2.0
32,1.0
33,1.0
34,0.0
35,1.0
36,0.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,2.0
43,1.0
44,1.0
45,1.0
46,2.0
47,2.0
48,1.0
49,1.0
50,1.0
51,6.0
52,1.0
53,1.0
54,1.0
55,2.0
56,2.0
57,2.0
58,1.0
59,2.0
60,1.0
61,5.0
62,1.0
63,4.0
64,2.0
65,2.0
66,3.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,2.0
74,2.0
75,1.0
76,2.0
77,3.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,1.0
85,1.0
86,2.0
87,1.0
88,1.0
89,1.0
90,1.0
91,0.0
92,1.0
93,1.0
94,0.0
95,2.0
96,0.0
97,1.0
98,0.0
99,0.0
100,1.0
101,0.0
102,0.0
103,1.0
104,1.0
105,1.0
106,1.0
107,0.0
108,1.0
109,0.0
110,1.0
111,1.0
112,2.0
113,1.0
114,1.0
115,0.0
116,0.0
117,2.0
118,1.0
119,0.0
120,4.0
121,2.0
122,2.0
123,1.0
124,4.0
125,1.0
126,3.0
127,1.0
128,2.0
129,2.0
130,1.0
131,2.0
132,2.0
133,1.0
134,1.0
135,0.0
136,1.0
137,2.0
138,2.0
139,0.0
140,3.0
141,1.0
142,3.0
143,2.0
144,2.0
145,4.0
146,6.0
147,2.0
148,1.0
149,1.0
150,1.0
151,1.0
152,4.0
153,2.0
154,1.0
155,2.0
156,2.0
157,2.0
158,2.0
159,1.0
160,1.0
161,2.0
162,2.0
163,1.0
164,4.0
165,1.0
166,1.0
167,1.0
168,2.0
169,1.0
170,2.0
171,2.0
172,2.0
173,0.0
174,1.0
175,1.0
176,0.0
177,2.0
178,2.0
179,1.0
180,1.0
181,1.0
182,4.0
183,2.0
184,3.0
185,1.0
186,6.0
187,2.0
188,3.0
189,1.0
190,3.0
191,2.0
192,3.0
193,1.0
194,1.0
195,3.0
196,4.0
197,3.0
198,1.0
199,4.0
200,2.0
201,2.0
202,4.0
203,3.0
204,3.0
205,2.0
206,4.0
207,2.0
208,1.0
209,1.0
210,4.0
211,2.0
212,2.0
213,3.0
214,2.0
215,3.0
216,1.0
217,4.0
218,1.0
219,1.0
220,1.0
221,1.0
222,0.0
223,2.0
224,2.0
225,2.0
226,0.0
227,1.0
228,2.0
229,2.0
230,1.0
231,1.0
232,2.0
233,2.0
234,2.0
235,2.0
236,1.0
237,1.0
238,2.0
239,1.0
240,1.0
241,1.0
242,1.0
243,2.0
244,1.0
245,0.0
246,2.0
247,0.0
248,2.0
249,2.0
250,1.0
251,4.0
252,2.0
253,1.0
254,0.0
255,0.0
256,1.0
257,1.0
258,1.0
259,2.0
260,2.0
261,1.0
262,1.0
263,2.0
264,1.0
265,1.0
266,1.0
267,1.0
268,1.0
269,2.0
270,2.0
271,1.0
272,2.0
273,3.0
274,2.0
275,2.0
276,4.0
277,1.0
278,2.0
279,1.0
280,1.0
281,0.0
282,1.0
283,2.0
284,2.0
285,1.0
286,2.0
287,1.0
288,1.0
289,2.0
290,2.0
291,1.0
292,2.0
293,1.0
294,1.0
295,1.0
296,2.0
297,1.0
298,1.0
299,1.0
300,2.0
301,2.0
302,1.0
303,0.0
304,1.0
305,2.0
306,1.0
307,1.0
308,1.0
309,0.0
310,1.0
311,2.0
312,2.0
313,2.0
314,1.0
315,2.0
316,2.0
317,1.0
318,5.0
319,2.0
320,1.0
321,2.0
322,1.0
323,1.0
324,1.0
325,1.0
326,2.0
327,2.0
328,1.0
329,3.0
330,2.0
331,1.0
332,1.0
333,1.0
334,1.0
335,2.0
336,2.0
337,1.0
338,1.0
339,0.0
340,1.0
341,1.0
342,2.0
343,1.0
344,1.0
345,1.0
346,1.0
347,1.0
348,1.0
349,2.0
350,2.0
351,1.0
352,3.0
353,1.0
354,3.0
355,1.0
356,3.0
357,2.0
358,1.0
359,4.0
360,1.0
361,2.0
362,1.0
363,1.0
364,0.0
365,1.0
366,2.0
367,4.0
368,1.0
369,1.0
370,2.0
371,2.0
372,2.0
373,4.0
374,1.0
375,2.0
376,2.0
377,2.0
378,2.0
379,4.0
380,1.0
381,2.0
382,2.0
383,3.0
384,2.0
385,2.0
386,3.0
387,2.0
388,2.0
389,1.0
390,2.0
391,2.0
392,2.0
393,2.0
394,4.0
395,3.0
396,1.0
397,1.0
398,2.0
399,2.0
400,4.0
